protocol,table,attribute,definition,type,format_text,unit,id_variable,status
seagrass_density,sample_metadata,depth_m,"Site depth in meters. For sites spanning a depth range, please provide a single average depth.",numeric,NA,meters,NA,active
seagrass_density,sample_metadata,cover_method,"The method used to estimate cover: Braun-Blanquet, percent bins, or point count.",text,NA,NA,NA,active
seagrass_density,sample_metadata,quadrat_dimensions,Dimensions of the quadrat used during sampling (WxH),text,NA,NA,NA,active
seagrass_density,sample_metadata,points_in_quadrat,"The total number of points counted in a quadrat to estimate cover. A value is only necessary if using the point count method, please leave this blank if using a different method.",numeric,NA,NA,NA,active
seagrass_density,sample_metadata,data_collector,Name(s) of data collector(s),text,NA,NA,NA,active
seagrass_density,sample_metadata,data_entry_person,Full name of data entry person,text,NA,NA,NA,active
seagrass_density,sample_metadata,sample_metadata_notes,"Any additional notes regarding observations, context, or concerns about the data.",text,NA,NA,NA,active
seagrass_density,cover_sample_data,sample_collection_date,The date the sample was collected in the field (YYYY-MM-DD),date,YYYY-MM-DD,NA,1,active
seagrass_density,cover_sample_data,site_code,Enter your 6 character site code. Codes can be found in the standards section of the MarineGEO protocol website: https://marinegeo.github.io/standards/,text,XXX-YYY,NA,1,active
seagrass_density,cover_sample_data,location_name,"The name of the specific location where the sample was collected; e.g., Curlew Cay",text,NA,NA,1,active
seagrass_density,cover_sample_data,transect,"The transect at the location the sample came from: 1, 2, or 3",numeric,NA,NA,1,active
seagrass_density,cover_sample_data,quadrat,The distance along the transect that the sample was collected (from 1-50 m),numeric,NA,meters,2,active
seagrass_density,cover_sample_data,scientific_name,"Scientific name using standard scientific nomenclature. If the species cannot be identified to species, report genus or higher.",text,NA,NA,NA,active
seagrass_density,cover_sample_data,identification_notes,"Any additional notes regarding observations, context, or concerns about the data.",text,NA,NA,NA,active
seagrass_density,cover_sample_data,cover_code,"Cover code format will depend on the method used: Braun-Blanquet uses a letter scale (A, B, C, D, E) and % bins and point count methods use numeric scale. Refer to the protocol document for more information. If reporting cover for substrate, leave scientific name blank for that row.",NA,NA,NA,NA,active
seagrass_density,cover_sample_data,sediment_type,"Type of bare substratum where sample was collected (ex. Sand, mud, mixed)",text,NA,NA,NA,active
seagrass_density,cover_sample_data,cover_sample_notes,"Any additional notes regarding observations, context, or concerns about the data.",text,NA,NA,NA,active
seagrass_density,macro_invert_sample_data,sample_collection_date,The date the sample was collected in the field (YYYY-MM-DD),date,YYYY-MM-DD,NA,1,active
seagrass_density,macro_invert_sample_data,site_code,Enter your 6 character site code. Codes can be found in the standards section of the MarineGEO protocol website: https://marinegeo.github.io/standards/,text,XXX-YYY,NA,1,active
seagrass_density,macro_invert_sample_data,location_name,"The name of the specific location where the sample was collected; e.g., Curlew Cay",text,NA,NA,1,active
seagrass_density,macro_invert_sample_data,transect,"The transect at the location the sample came from: 1, 2, or 3",numeric,NA,NA,1,active
seagrass_density,macro_invert_sample_data,quadrat,The distance along the transect that the sample was collected (from 1-50 m),numeric,NA,meters,2,active
seagrass_density,macro_invert_sample_data,scientific_name,"Scientific name using standard scientific nomenclature. If the species cannot be identified to species, report genus or higher.",text,NA,NA,NA,active
seagrass_density,macro_invert_sample_data,identification_notes,"Any additional notes regarding observations, context, or concerns about the data.",text,NA,NA,NA,active
seagrass_density,macro_invert_sample_data,size_mm,"The size of any mobile inverts to the nearest millimeter. If more than one individual of a given taxon is present in a single quadrat, enter a single row for each individual.",integer,XXX,millimeters,NA,active
seagrass_density,macro_invert_sample_data,macro_invert_sample_notes,"Any additional notes regarding observations, context, or concerns about the data.",text,NA,NA,NA,active
seagrass_density,shoot_count_sample_data,sample_collection_date,The date the sample was collected in the field (YYYY-MM-DD),date,YYYY-MM-DD,NA,1,active
seagrass_density,shoot_count_sample_data,site_code,Enter your 6 character site code. Codes can be found in the standards section of the MarineGEO protocol website: https://marinegeo.github.io/standards/,text,XXX-YYY,NA,1,active
seagrass_density,shoot_count_sample_data,location_name,"The name of the specific location where the sample was collected; e.g., Curlew Cay",text,NA,NA,1,active
seagrass_density,shoot_count_sample_data,transect,"The transect at the location the sample came from: 1, 2, or 3",numeric,NA,NA,1,active
seagrass_density,shoot_count_sample_data,quadrat,The distance along the transect that the sample was collected (from 1-50 m),numeric,NA,meters,2,active
seagrass_density,shoot_count_sample_data,scientific_name,"Scientific name using standard scientific nomenclature. If the species cannot be identified to species, report genus or higher.",text,NA,NA,NA,active
seagrass_density,shoot_count_sample_data,identification_notes,"Any additional notes regarding observations, context, or concerns about the data.",text,NA,NA,NA,active
seagrass_density,shoot_count_sample_data,shoots_count,"The count of seagrass shoots within the quadrat. 

Remember - Zeros are data! Please enter 0 if no seagrass shoots were present.",integer,XX,NA,NA,active
seagrass_density,shoot_count_sample_data,flowers_count,"The count of seagrass flowers (if any) present  within the qudrat.

Remember - Zeros are data! Please enter 0 if no seagrass flowers were present.",integer,XX,NA,NA,active
seagrass_density,shoot_count_sample_data,fruits_count,"The count of seagrass fruits (if any) present  within the qudrat.

Remember - Zeros are data! Please enter 0 if no seagrass fruits were present.",integer,XX,NA,NA,active
seagrass_density,shoot_count_sample_data,shoot_count_sample_notes,"Any additional notes regarding observations, context, or concerns about the data.",text,NA,NA,NA,active
seagrass_epifauna,sample_metadata,sample_collection_date,The date the sample was collected in the field (YYYY-MM-DD),date,YYYY-MM-DD,NA,1,active
seagrass_epifauna,sample_metadata,site_code,Enter your 6 character site code. Codes can be found in the standards section of the MarineGEO protocol website: https://marinegeo.github.io/standards/,text,XXX-YYY,NA,1,active
seagrass_epifauna,sample_metadata,location_name,"The name of the specific location where the sample was collected; e.g., Curlew Cay",text,NA,NA,1,active
seagrass_epifauna,sample_metadata,transect,"The transect at the location the sample came from: 1, 2, or 3",numeric,NA,NA,1,active
seagrass_epifauna,sample_metadata,transect_begin_decimal_latitude,"Latitude of the transect beginning, in decimal degrees (to five decimal places)",numeric,xx.xxxxx,NA,NA,active
seagrass_epifauna,sample_metadata,transect_begin_decimal_longitude,"Longitude of the transect beginning, in decimal degrees (to five decimal places)",numeric,xxx.xxxxx,NA,NA,active
seagrass_epifauna,sample_metadata,transect_end_decimal_latitude,"Latitude of the transect ending, in decimal degrees (to five decimal places)",numeric,xx.xxxxx,NA,NA,active
seagrass_epifauna,sample_metadata,transect_end_decimal_longitude,"Latitude of the transect ending, in decimal degrees (to five decimal places)",numeric,xxx.xxxxx,NA,NA,active
seagrass_epifauna,sample_metadata,sample_processing_date,The date the sample was processed in the lab,date,YYYY-MM-DD,NA,NA,active
seagrass_epifauna,sample_metadata,depth_m,"Site depth in meters. For sites spanning a depth range, please provide a single average depth.",numeric,NA,meters,NA,active
seagrass_epifauna,sample_metadata,data_collector,Name(s) of data collector(s),text,NA,NA,NA,active
seagrass_epifauna,sample_metadata,data_entry_person,Full name of data entry person,text,NA,NA,NA,active
seagrass_epifauna,sample_metadata,sample_metadata_notes,"Any additional notes regarding observations, context, or concerns about the data.",text,NA,NA,NA,active
seagrass_epifauna,macrophyte_mass_data,sample_collection_date,The date the sample was collected in the field (YYYY-MM-DD),date,YYYY-MM-DD,NA,1,active
seagrass_epifauna,macrophyte_mass_data,site_code,Enter your 6 character site code. Codes can be found in the standards section of the MarineGEO protocol website: https://marinegeo.github.io/standards/,text,XXX-YYY,NA,1,active
seagrass_epifauna,macrophyte_mass_data,location_name,"The name of the specific location where the sample was collected; e.g., Curlew Cay",text,NA,NA,1,active
seagrass_epifauna,macrophyte_mass_data,transect,"The transect at the location the sample came from: 1, 2, or 3",numeric,NA,NA,1,active
seagrass_epifauna,macrophyte_mass_data,quadrat,The distance along the transect that the sample was collected (from 1-50 m),numeric,NA,meters,2,active
seagrass_epifauna,macrophyte_mass_data,scientific_name,"Scientific name using standard scientific nomenclature. If the species cannot be identified to species, report genus or higher.",text,NA,NA,NA,active
seagrass_epifauna,macrophyte_mass_data,identification_notes,"Any additional notes regarding observations, context, or concerns about the data.",text,NA,NA,NA,active
seagrass_epifauna,macrophyte_mass_data,sample_processing_person,The full name of the person processing the sample (no initials; ONLY one name per sample),text,NA,NA,NA,active
seagrass_epifauna,macrophyte_mass_data,tin_mass_g,The mass in grams of an empty measring tin,decimal,xx.xx,grams,NA,active
seagrass_epifauna,macrophyte_mass_data,tin_sample_dry_mass_g,"The mass in grams of a measring tin containing a seagrass sample, after it has been dried to a consistant dryweight",decimal,xx.xx,grams,NA,active
seagrass_epifauna,macrophyte_mass_data,macrophyte_mass_notes,"Any additional notes regarding observations, context, or concerns about the data.",text,NA,NA,NA,active
seagrass_epifauna,epifauna_data,sample_collection_date,The date the sample was collected in the field (YYYY-MM-DD),date,YYYY-MM-DD,NA,1,active
seagrass_epifauna,epifauna_data,site_code,Enter your 6 character site code. Codes can be found in the standards section of the MarineGEO protocol website: https://marinegeo.github.io/standards/,text,XXX-YYY,NA,1,active
seagrass_epifauna,epifauna_data,location_name,"The name of the specific location where the sample was collected; e.g., Curlew Cay",text,NA,NA,1,active
seagrass_epifauna,epifauna_data,transect,"The transect at the location the sample came from: 1, 2, or 3",numeric,NA,NA,1,active
seagrass_epifauna,epifauna_data,quadrat,The distance along the transect that the sample was collected (from 1-50 m),numeric,NA,meters,2,active
seagrass_epifauna,epifauna_data,scientific_name,"Scientific name using standard scientific nomenclature. If the species cannot be identified to species, report genus or higher.",text,NA,NA,NA,active
seagrass_epifauna,epifauna_data,identification_notes,"Any additional notes regarding observations, context, or concerns about the data.",text,NA,NA,NA,active
seagrass_epifauna,epifauna_data,sample_processing_person,The full name of the person processing the sample (no initials; ONLY one name per sample),text,NA,NA,NA,active
seagrass_epifauna,epifauna_data,8.0mm,"Count of individuals between Xmm and Ymm, where Y = the current sieve mesh size and X = the next largest sieve mesh size",integer,XXX,count,NA,active
seagrass_epifauna,epifauna_data,5.6mm,"Count of individuals between Xmm and Ymm, where Y = the current sieve mesh size and X = the next largest sieve mesh size",integer,XXX,count,NA,active
seagrass_epifauna,epifauna_data,4.0mm,"Count of individuals between Xmm and Ymm, where Y = the current sieve mesh size and X = the next largest sieve mesh size",integer,XXX,count,NA,active
seagrass_epifauna,epifauna_data,2.8mm,"Count of individuals between Xmm and Ymm, where Y = the current sieve mesh size and X = the next largest sieve mesh size",integer,XXX,count,NA,active
seagrass_epifauna,epifauna_data,2.0mm,"Count of individuals between Xmm and Ymm, where Y = the current sieve mesh size and X = the next largest sieve mesh size",integer,XXX,count,NA,active
seagrass_epifauna,epifauna_data,1.4mm,"Count of individuals between Xmm and Ymm, where Y = the current sieve mesh size and X = the next largest sieve mesh size",integer,XXX,count,NA,active
seagrass_epifauna,epifauna_data,1.0mm,"Count of individuals between Xmm and Ymm, where Y = the current sieve mesh size and X = the next largest sieve mesh size",integer,XXX,count,NA,active
seagrass_epifauna,epifauna_data,0.71mm,"Count of individuals between Xmm and Ymm, where Y = the current sieve mesh size and X = the next largest sieve mesh size",integer,XXX,count,NA,active
seagrass_epifauna,epifauna_data,0.5mm,"Count of individuals between Xmm and Ymm, where Y = the current sieve mesh size and X = the next largest sieve mesh size",integer,XXX,count,NA,active
seagrass_epifauna,epifauna_data,individuals_not_sieved,Count of individuals that were not sieved,integer,XXX,count,NA,active
seagrass_epifauna,epifauna_data,epifauna_notes,"Any additional notes regarding observations, context, or concerns about the data.",text,NA,NA,NA,active
seagrass_macroalgae,sample_metadata,sample_collection_date,The date the sample was collected in the field,date,YYYY-MM-DD,NA,1,active
seagrass_macroalgae,sample_metadata,site_code,Enter your 6 character site code. Codes can be found in the standards section of the MarineGEO protocol website: https://marinegeo.github.io/standards/,text,XXX-YYY,NA,1,active
seagrass_macroalgae,sample_metadata,location_name,"The name of the specific location where the sample was collected; e.g., Curlew Cay",text,NA,NA,1,active
seagrass_macroalgae,sample_metadata,transect,"The transect at the location the sample came from: 1, 2, or 3",numeric,NA,NA,1,active
seagrass_macroalgae,sample_metadata,sample_processing_date,The date the sample was processed in the lab,date,YYYY-MM-DD,NA,NA,active
seagrass_macroalgae,sample_metadata,transect_begin_decimal_latitude,"Latitude of the transect beginning, in decimal degrees (to five decimal places)",numeric,xx.xxxxx,NA,NA,active
seagrass_macroalgae,sample_metadata,transect_begin_decimal_longitude,"Longitude of the transect beginning, in decimal degrees (to five decimal places)",numeric,xxx.xxxxx,NA,NA,active
seagrass_macroalgae,sample_metadata,transect_end_decimal_latitude,"Latitude of the transect ending, in decimal degrees (to five decimal places)",numeric,xx.xxxxx,NA,NA,active
seagrass_macroalgae,sample_metadata,transect_end_decimal_longitude,"Latitude of the transect ending, in decimal degrees (to five decimal places)",numeric,xxx.xxxxx,NA,NA,active
seagrass_macroalgae,sample_metadata,depth_m,"Site depth in meters. For sites spanning a depth range, please provide a single average depth.",numeric,NA,meters,NA,active
seagrass_macroalgae,sample_metadata,data_collector,Name(s) of data collector(s),text,NA,NA,NA,active
seagrass_macroalgae,sample_metadata,data_entry_person,Full name of data entry person,text,NA,NA,NA,active
seagrass_macroalgae,sample_metadata,sample_metadata_notes,"Any additional notes regarding observations, context, or concerns about the data.",text,NA,NA,NA,active
seagrass_macroalgae,sample_data,sample_collection_date,The date the sample was collected in the field,date,YYYY-MM-DD,NA,1,active
seagrass_macroalgae,sample_data,site_code,Enter your 6 character site code. Codes can be found in the standards section of the MarineGEO protocol website: https://marinegeo.github.io/standards/,text,XXX-YYY,NA,1,active
seagrass_macroalgae,sample_data,location_name,"The name of the specific location where the sample was collected; e.g., Curlew Cay",text,NA,NA,1,active
seagrass_macroalgae,sample_data,transect,"The transect at the location the sample came from: 1, 2, or 3",numeric,NA,NA,1,active
seagrass_macroalgae,sample_data,quadrat,The distance along the transect that the sample was collected (from 1-50 m),numeric,NA,meters,2,active
seagrass_macroalgae,sample_data,macroalgae_id,"Provide the most accurate and feasible level of identification for this sample. Options include full scientific name (genus and species), a coarser taxonomic classification, or functional group.",text,NA,NA,NA,active
seagrass_macroalgae,sample_data,sample_processing_person,The full name of the person processing the sample (no initials; ONLY one name per sample),text,NA,NA,NA,active
seagrass_macroalgae,sample_data,tin_mass_macroalgae_g,"Mass of the empty tin to hold the macroalgae, in grams",integer,XX.XX,grams,NA,active
seagrass_macroalgae,sample_data,tin_and_macroalgae_dry_mass_g,"Mass of the empty tin and macroalgae that have been dried to a constant weight, in grams",integer,XX.XX,grams,NA,active
seagrass_macroalgae,sample_data,sample_data_notes,"Any additional notes regarding observations, context, or concerns about the data.",text,NA,NA,NA,active
seagrass_shoots,sample_metadata,sample_collection_date,The date the sample was collected in the field,date,YYYY-MM-DD,NA,1,active
seagrass_shoots,sample_metadata,site_code,Enter your 6 character site code. Codes can be found in the standards section of the MarineGEO protocol website: https://marinegeo.github.io/standards/,text,XXX-YYY,NA,1,active
seagrass_shoots,sample_metadata,location_name,"The name of the specific location where the sample was collected; e.g., Curlew Cay",text,NA,NA,1,active
seagrass_shoots,sample_metadata,transect,"The transect at the location the sample came from: 1, 2, or 3",numeric,NA,NA,1,active
seagrass_shoots,sample_metadata,transect_begin_decimal_latitude,"Latitude of the transect beginning, in decimal degrees (to five decimal places)",numeric,xx.xxxxx,NA,NA,active
seagrass_shoots,sample_metadata,transect_begin_decimal_longitude,"Longitude of the transect beginning, in decimal degrees (to five decimal places)",numeric,xxx.xxxxx,NA,NA,active
seagrass_shoots,sample_metadata,transect_end_decimal_latitude,"Latitude of the transect ending, in decimal degrees (to five decimal places)",numeric,xx.xxxxx,NA,NA,active
seagrass_shoots,sample_metadata,transect_end_decimal_longitude,"Latitude of the transect ending, in decimal degrees (to five decimal places)",numeric,xxx.xxxxx,NA,NA,active
seagrass_shoots,sample_metadata,sample_processing_date,The date the sample was processed in the lab,date,YYYY-MM-DD,NA,NA,active
seagrass_shoots,sample_metadata,depth_m,"Site depth in meters. For sites spanning a depth range, please provide a single average depth.",numeric,NA,meters,NA,active
seagrass_shoots,sample_metadata,data_collector,Name(s) of data collector(s),text,NA,NA,NA,active
seagrass_shoots,sample_metadata,data_entry_person,Full name of data entry person,text,NA,NA,NA,active
seagrass_shoots,sample_metadata,sample_metadata_notes,"Any additional notes regarding observations, context, or concerns about the data.",text,NA,NA,NA,active
seagrass_shoots,blade_measurement_data,sample_collection_date,The date the sample was collected in the field,date,YYYY-MM-DD,NA,1,active
seagrass_shoots,blade_measurement_data,site_code,Enter your 6 character site code. Codes can be found in the standards section of the MarineGEO protocol website: https://marinegeo.github.io/standards/,text,XXX-YYY,NA,1,active
seagrass_shoots,blade_measurement_data,location_name,"The name of the specific location where the sample was collected; e.g., Curlew Cay",text,NA,NA,1,active
seagrass_shoots,blade_measurement_data,transect,"The transect at the location the sample came from: 1, 2, or 3",numeric,NA,NA,1,active
seagrass_shoots,blade_measurement_data,quadrat,The distance along the transect that the sample was collected (from 1-50 m),numeric,NA,meters,2,active
seagrass_shoots,blade_measurement_data,scientific_name,"Scientific name using standard scientific nomenclature. If the species cannot be identified to species, report genus or higher.",text,NA,NA,NA,active
seagrass_shoots,blade_measurement_data,identification_notes,"Any additional notes regarding observations, context, or concerns about the data.",text,NA,NA,NA,active
seagrass_shoots,blade_measurement_data,sample_processing_person,The full name of the person processing the sample (no initials; ONLY one name per sample),text,NA,NA,NA,active
seagrass_shoots,blade_measurement_data,blade_rank,"Rank of the blade from youngest or innermost, to oldest. Use a integer scale starting at 1 for the youngest blade.",numeric,NA,NA,NA,active
seagrass_shoots,blade_measurement_data,blade_length_mm,Blade length in millimeters,integer,XX,millimeters,NA,active
seagrass_shoots,blade_measurement_data,blade_width_mm,Blade width in millimeters,integer,XX,millimeters,NA,active
seagrass_shoots,blade_measurement_data,blade_measurement_data_notes,"Any additional notes regarding observations, context, or concerns about the data.",text,NA,NA,NA,active
seagrass_shoots,sheath_and_epibiont_data,sample_collection_date,The date the sample was collected in the field,date,YYYY-MM-DD,NA,1,active
seagrass_shoots,sheath_and_epibiont_data,site_code,Enter your 6 character site code. Codes can be found in the standards section of the MarineGEO protocol website: https://marinegeo.github.io/standards/,text,XXX-YYY,NA,1,active
seagrass_shoots,sheath_and_epibiont_data,location_name,"The name of the specific location where the sample was collected; e.g., Curlew Cay",text,NA,NA,1,active
seagrass_shoots,sheath_and_epibiont_data,transect,"The transect at the location the sample came from: 1, 2, or 3",numeric,NA,NA,1,active
seagrass_shoots,sheath_and_epibiont_data,quadrat,The distance along the transect that the sample was collected (from 1-50 m),numeric,NA,meters,2,active
seagrass_shoots,sheath_and_epibiont_data,scientific_name,"Scientific name using standard scientific nomenclature. If the species cannot be identified to species, report genus or higher.",text,NA,NA,NA,active
seagrass_shoots,sheath_and_epibiont_data,identification_notes,"Any additional notes regarding observations, context, or concerns about the data.",text,NA,NA,NA,active
seagrass_shoots,sheath_and_epibiont_data,sample_processing_person,The full name of the person processing the sample (no initials; ONLY one name per sample),text,NA,NA,NA,active
seagrass_shoots,sheath_and_epibiont_data,sheath_length_mm,Sheath length in millimeters,integer,XX,millimeters,NA,active
seagrass_shoots,sheath_and_epibiont_data,number_grazing_scars,Number of grazing scars on seagrass blades,integer,XX,NA,NA,active
seagrass_shoots,sheath_and_epibiont_data,tin_mass_epibiont_g,"Mass of the empty tin to hold the epibionts, in grams",integer,XX.XX,grams,NA,active
seagrass_shoots,sheath_and_epibiont_data,tin_and_epibiont_dry_mass_g,"Mass of the empty tin and epibionts that have been dried to a constant weight, in grams",integer,XX.XX,grams,NA,active
seagrass_shoots,sheath_and_epibiont_data,tin_mass_blades_g,"Mass of the empty tin to hold the blades, in grams",integer,XX.XX,grams,NA,active
seagrass_shoots,sheath_and_epibiont_data,tin_and_blades_dry_mass_g,"Mass of the empty tin and blades that have been dried to a constant weight, in grams",integer,XX.XX,grams,NA,active
seagrass_shoots,sheath_and_epibiont_data,sheath_and_epibiont_data_notes,"Any additional notes regarding observations, context, or concerns about the data.",text,NA,NA,NA,active
beach_seines,sample_metadata,sample_collection_date,The date the sample was collected in the field,date,YYYY-MM-DD,NA,1,active
beach_seines,sample_metadata,site_code,Enter your 6 character site code. Codes can be found in the standards section of the MarineGEO protocol website: https://marinegeo.github.io/standards/,text,XXX-YYY,NA,1,active
beach_seines,sample_metadata,location_name,"The name of the specific location where the sample was collected; e.g., Curlew Cay",text,NA,NA,1,active
beach_seines,sample_metadata,transect,"The transect at the location the sample came from: 1, 2, or 3",numeric,NA,NA,1,active
beach_seines,sample_metadata,sample_processing_date,The date the sample was processed in the lab,date,YYYY-MM-DD,NA,NA,active
beach_seines,sample_metadata,transect_begin_decimal_latitude,"Latitude of the transect beginning, in decimal degrees (to five decimal places)",numeric,xx.xxxxx,NA,NA,active
beach_seines,sample_metadata,transect_begin_decimal_longitude,"Longitude of the transect beginning, in decimal degrees (to five decimal places)",numeric,xxx.xxxxx,NA,NA,active
beach_seines,sample_metadata,transect_end_decimal_latitude,"Latitude of the transect ending, in decimal degrees (to five decimal places)",numeric,xx.xxxxx,NA,NA,active
beach_seines,sample_metadata,transect_end_decimal_longitude,"Latitude of the transect ending, in decimal degrees (to five decimal places)",numeric,xxx.xxxxx,NA,NA,active
beach_seines,sample_metadata,depth_m,"Site depth in meters. For sites spanning a depth range, please provide a single average depth.",numeric,NA,meters,NA,active
beach_seines,sample_metadata,seine_mesh_size_mm,"The mesh size on the beach seine, in millimeters",numeric,NA,millimeters,NA,active
beach_seines,sample_metadata,seine_width_m,"The width of the beach seine, in meters",numeric,NA,meters,NA,active
beach_seines,sample_metadata,seine_height_m,"The height of the beach seine, in meters",numeric,NA,meters,NA,active
beach_seines,sample_metadata,seine_distance_m,"The distance towed along the transect, in meters (may or may not be 50 m)",numeric,NA,meters,NA,active
beach_seines,sample_metadata,data_collector,Name(s) of data collector(s),text,NA,NA,NA,active
beach_seines,sample_metadata,data_entry_person,Full name of data entry person,text,NA,NA,NA,active
beach_seines,sample_metadata,sample_metadata_notes,"Any additional notes regarding observations, context, or concerns about the data.",text,NA,NA,NA,active
beach_seines,abundance_data,sample_collection_date,The date the sample was collected in the field,date,YYYY-MM-DD,NA,1,active
beach_seines,abundance_data,site_code,Enter your 6 character site code. Codes can be found in the standards section of the MarineGEO protocol website: https://marinegeo.github.io/standards/,text,XXX-YYY,NA,1,active
beach_seines,abundance_data,location_name,"The name of the specific location where the sample was collected; e.g., Curlew Cay",text,NA,NA,1,active
beach_seines,abundance_data,transect,"The transect at the location the sample came from: 1, 2, or 3",numeric,NA,NA,1,active
beach_seines,abundance_data,scientific_name,"Scientific name using standard scientific nomenclature. If the species cannot be identified to species, report genus or higher.",text,NA,NA,NA,active
beach_seines,abundance_data,identification_notes,"Any additional notes regarding observations, context, or concerns about the data.",text,NA,NA,NA,active
beach_seines,abundance_data,abundance,Total abundance of each fish taxon.,NA,NA,NA,NA,active
beach_seines,abundance_data,abundance_notes,"Any additional notes regarding observations, context, or concerns about the data.",text,NA,NA,NA,active
beach_seines,length_data,sample_collection_date,The date the sample was collected in the field,date,YYYY-MM-DD,NA,1,active
beach_seines,length_data,site_code,Enter your 6 character site code. Codes can be found in the standards section of the MarineGEO protocol website: https://marinegeo.github.io/standards/,text,XXX-YYY,NA,1,active
beach_seines,length_data,location_name,"The name of the specific location where the sample was collected; e.g., Curlew Cay",text,NA,NA,1,active
beach_seines,length_data,transect,"The transect at the location the sample came from: 1, 2, or 3",numeric,NA,NA,1,active
